timestamp,gpu,driver,method,workload,suspend_ms,criu_dump_ms,total_checkpoint_ms,checkpoint_size_mb,stamp
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs,gpt2-124M,892,1636,2528,2339,1774979246
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs,gpt2-124M,883,1666,2549,2338,1774979260
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs,gpt2-124M,897,1704,2601,2338,1774979273
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs,gpt2-124M,896,1707,2603,2339,1774979286
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs,gpt2-124M,894,1672,2566,2337,1774979299
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs+predump,gpt2-124M,937,1524,2461,2067,1774979957
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs+predump,gpt2-124M,918,1700,2618,2339,1774979970
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs+predump,gpt2-124M,898,1702,2600,2339,1774979983
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs+predump,gpt2-124M,894,1711,2605,2338,1774979996
2026-03-31,RTX5090,580.95,criu+cuda-checkpoint+tmpfs+predump,gpt2-124M,901,1665,2566,2338,1774980010